Sample_Identification,Provider,Study_Number,Sample_Accession,Experiment_Accession,Run_Accession,Median_DoublingTime_NoAntimicrbial,Median_GrowthYield_NoAntimicrbial,Median_DoublingTime_CAM_0.5,Median_GrowthYield_CAM_0.5,Median_DoublingTime_CAM_1,Median_GrowthYield_CAM_1,Median_DoublingTime_CAM_2,Median_GrowthYield_CAM_2,Median_DoublingTime_CIP_0.002,Median_GrowthYield_CIP_0.002,Median_DoublingTime_CIP_0.004,Median_GrowthYield_CIP_0.004,Median_DoublingTime_CIP_0.008,Median_GrowthYield_CIP_0.008,Median_DoublingTime_CTX_0.5,Median_GrowthYield_CTX_0.5,Median_DoublingTime_CTX_1,Median_GrowthYield_CTX_1,Median_DoublingTime_CTX_2,Median_GrowthYield_CTX_2,Median_DoublingTime_KAN_4,Median_GrowthYield_KAN_4,Median_DoublingTime_KAN_8,Median_GrowthYield_KAN_8,Median_DoublingTime_KAN_16,Median_GrowthYield_KAN_16,Median_DoublingTime_TET_0.3,Median_GrowthYield_TET_0.3,Median_DoublingTime_TET_0.6,Median_GrowthYield_TET_0.6,Median_DoublingTime_TET_1.25,Median_GrowthYield_TET_1.25,Median_DoublingTime_TRIM_0.125,Median_GrowthYield_TRIM_0.125,Median_DoublingTime_TRIM_0.25,Median_GrowthYield_TRIM_0.25,Median_DoublingTime_TRIM_0.5,Median_GrowthYield_TRIM_0.5,StandardDeviation_DoublingTime_NoAntimicrbial,StandardDeviation_GrowthYield_NoAntimicrobial,StandardDeviation_DoublingTime_CAM_0.5,StandardDeviation_GrowthYield_CAM_0.5,StandardDeviation_DoublingTime_CAM_1,StandardDeviation_GrowthYield_CAM_1,StandardDeviation_DoublingTime_CAM_2,StandardDeviation_GrowthYield_CAM_2,StandardDeviation_DoublingTime_CIP_0.002,StandardDeviation_GrowthYield_CIP_0.002,StandardDeviation_DoublingTime_CIP_0.004,StandardDeviation_GrowthYield_CIP_0.004,StandardDeviation_DoublingTime_CIP_0.008,StandardDeviation_GrowthYield_CIP_0.008,StandardDeviation_DoublingTime_CTX_0.5,StandardDeviation_GrowthYield_CTX_0.5,StandardDeviation_DoublingTime_CTX_1,StandardDeviation_GrowthYield_CTX_1,StandardDeviation_DoublingTime_CTX_2,StandardDeviation_GrowthYield_CTX_2,StandardDeviation_DoublingTime_KAN_4,StandardDeviation_GrowthYield_KAN_4,StandardDeviation_DoublingTime_KAN_8,StandardDeviation_GrowthYield_KAN_8,StandardDeviation_DoublingTime_KAN_16,StandardDeviation_GrowthYield_KAN_16,StandardDeviation_DoublingTime_TET_0.3,StandardDeviation_GrowthYield_TET_0.3,StandardDeviation_DoublingTime_TET_0.6,StandardDeviation_GrowthYield_TET_0.6,StandardDeviation_DoublingTime_TET_1.25,StandardDeviation_GrowthYield_TET_1.25,StandardDeviation_DoublingTime_TRIM_0.125,StandardDeviation_GrowthYield_TRIM_0.125,StandardDeviation_DoublingTime_TRIM_0.25,StandardDeviation_GrowthYield_TRIM_0.25,StandardDeviation_DoublingTime_TRIM_0.5,StandardDeviation_GrowthYield_TRIM_0.5
24742_1#113,Jan Michiels,PRJEB23294,SAMEA104370105,ERX3134807,ERR3062006,0.106515543,-1.115445413,-0.085557439,0.135778546,-0.171079181,0.673680992,-0.666262419,1.640750163,-0.290556586,1.0216132,-0.49112485,3.013721031,-0.381965035,4.849650041,-0.54328388,1.346441523,-0.399504113,1.790446845,-0.170816328,2.688172851,-0.14150798,1.466287178,-0.436548513,2.774067747,-0.663474159,2.622838855,-0.177928006,1.300896788,-0.751062134,3.450173064,-0.747252146,4.930922223,-0.395773732,0.413586469,-0.286438264,1.188675259,-0.36645187,2.198743336,0.092633814,0.082053376,0.106977333,0.158001003,0.354998156,0.150814257,0.146244389,0.383529342,0.133761751,0.30195233,0.207653787,0.418902296,0.306058606,0.592595898,0.167065515,0.412340074,0.191594811,0.404554218,0.156056876,1.771087218,0.12031348,0.324621701,0.118710617,0.40477636,0.205125124,1.042787088,0.286801425,0.339613809,0.289097462,0.695289375,0.195580575,0.724178193,0.144698658,0.418989468,0.20250224,0.468246518,0.218618127,0.537632112
24742_1#114,Jan Michiels,PRJEB23294,SAMEA104370106,ERX3134808,ERR3062007,-0.601700816,-1.969033304,0.160113413,-0.725708425,0.148601537,-0.554826075,-0.13663652,-0.053161962,-0.20566607,0.454832511,-0.185396641,2.546707958,-0.292449667,1.85820385,-0.33863425,-0.040347412,-0.068994779,0.684644054,-0.265663386,0.789515787,-0.087309921,1.619500219,-0.143154364,1.65124007,0.191799444,-0.301305967,-0.217282266,0.951871376,-0.707351576,2.076331079,-1.14466014,2.072046409,0.224925103,-2.81101902,0.373749443,-2.749463609,0.187593189,-1.82284373,0.150878346,0.227927819,0.186549611,0.324440995,0.191179064,0.294220419,0.211298917,0.425208037,0.176216785,0.378178093,0.240059944,0.467795792,0.203184621,0.836737285,0.38628208,0.43081275,0.211538242,0.390988399,0.222868166,0.515827012,0.237907786,0.549023697,0.249383042,0.518340265,0.133119874,0.06450599,0.191364902,0.385224239,0.207145443,0.321599049,0.286828698,0.393080626,0.106567993,1.47025953,0.108462311,1.137498239,0.175085105,0.469214642
24742_1#115,Jan Michiels,PRJEB23294,SAMEA104370107,ERX3134809,ERR3062008,-1.087847429,-0.745447407,-0.118957659,0.098890398,-0.13268949,0.50982178,-0.448487833,0.487608766,-0.134057215,1.256087778,0.102088274,3.138662426,-0.253944839,3.028218863,-0.220474769,0.699186976,-0.205291694,0.933797916,-0.443032852,1.256003804,-0.218265597,1.44261124,-0.589764655,1.599845138,-0.993819265,0.566608174,0.098380853,1.700934127,-0.253280967,3.018162216,-0.349089923,2.540722953,0.185400713,-0.309559435,-0.034007734,-0.799626163,-0.241698755,0.141964949,0.124084926,0.100877135,0.144728692,0.270151367,0.180898538,0.368622044,0.158257031,0.191089407,0.067921404,0.228341823,0.119806313,0.460544304,0.147800418,0.535670405,0.23952772,0.338209944,0.209534337,0.271225443,0.23831919,0.517151246,0.239698566,0.453938387,0.216299122,0.438862987,0.24669717,0.487147527,0.401118115,0.740387207,0.427565552,0.707900671,0.410925389,0.906165165,0.283478452,0.519757613,0.291519591,0.589908559,0.187361225,0.573855867
24742_1#120,Jan Michiels,PRJEB23294,SAMEA104370112,ERX3134814,ERR3062013,-0.215497838,-1.09705694,-0.115947697,0.12547041,-0.144656717,0.408081037,-0.34846392,1.319957087,-0.162756608,1.255882164,-0.341411381,3.346569707,-0.450559354,4.548161265,-0.349093931,0.671653433,-0.346253526,0.572279534,-0.256819731,0.943689708,-0.178535146,1.504245278,-0.3458559,2.797078396,-0.898231804,3.346552398,-0.1737508,1.425832985,-0.584662307,2.846182493,-0.97145815,5.094342341,-0.199747289,0.094507454,-0.242057638,0.96303523,-0.45304531,2.331487544,0.064711608,0.079930899,0.156344366,0.124993988,0.163535119,0.150380287,0.160733723,0.244229501,0.12981303,0.225657407,0.124711343,0.599150824,0.206033168,0.734401502,0.136508874,0.236145901,0.160723036,0.304390632,0.179612365,0.256643154,0.198221855,0.324913495,0.134732313,0.390737724,0.217168452,0.733464663,0.22672446,0.40126006,0.248930979,0.47263667,0.221873548,0.53996629,0.195820387,0.522540167,0.167483149,0.371873129,0.18302747,0.655938459
24742_1#121,Jan Michiels,PRJEB23294,SAMEA104370113,ERX3134815,ERR3062014,0.118545176,-1.051738216,-0.154442773,0.219033899,-0.260460658,0.540150468,-0.453174177,1.524194618,-0.142505806,1.522067917,-0.479251799,3.453581704,-0.344083005,4.604766195,-0.28532561,0.967203769,-0.229357887,0.924630104,-0.206850812,0.852459398,-0.231636486,2.070066702,-0.371343949,3.427254199,-1.007566423,3.838187042,-0.397047457,1.48461322,-0.884399236,3.639971387,-1.280079054,5.2385497,-0.348882334,0.125068865,-0.12833855,0.812037944,-0.41745677,1.835807813,0.100206861,0.049947443,0.114326776,0.095715684,0.220848735,0.190972011,0.163262714,0.21044298,0.15675765,0.352301227,0.37421756,0.44845075,0.233460627,0.919445076,0.121158222,0.444467309,0.141263714,0.466135898,0.245633151,0.174669661,0.12953283,0.32262282,0.144375857,0.497401651,0.260086138,0.645194843,0.153271815,0.290904646,0.166475493,0.28634935,0.186571459,0.428194237,0.176923319,0.432231907,0.315256989,0.377706168,0.188335595,0.646591116
24742_1#123,Jan Michiels,PRJEB23294,SAMEA104370115,ERX3134817,ERR3062016,-1.214901972,-2.372302581,-0.257889851,-0.007672679,-0.239526303,0.359576293,-0.400934302,1.642137501,-0.117543254,1.68096654,0.085594769,3.857146171,-0.221678002,4.962964784,-0.154696103,1.700330367,-0.168090114,1.493482038,-0.569165092,0.851063005,-0.358213623,0.807365153,-0.488467886,1.685514503,-1.086602093,1.254669,-0.16923244,0.926702788,-0.477714174,2.593184963,-0.856159311,3.450337487,-0.02766945,0.339273744,0.013400041,0.599591557,-0.473113454,1.664411125,0.128122401,0.048815208,0.176204779,0.225228029,0.233763102,0.298082333,0.238213026,0.339483535,0.16718423,0.33378538,0.275129054,0.642527298,0.182361018,0.743054074,0.214445217,0.460125762,0.236736759,0.517226348,0.226126495,0.850012154,0.23289012,0.548658589,0.362230696,0.557275001,0.180126788,1.00312793,0.239349573,0.357455544,0.259229129,0.352063836,0.26330969,0.35816329,0.260823424,0.516234373,0.366766195,0.47632017,0.301900758,0.935677518
24742_1#124,Jan Michiels,PRJEB23294,SAMEA104370116,ERX3134818,ERR3062017,-0.950674153,-1.807853443,-0.272641677,0.167834232,-0.277430835,0.32306161,-0.477046385,0.391133979,-0.129657914,1.190948793,-0.007141995,3.038809295,-0.239838838,3.85697651,-0.362832879,0.756360496,-0.219796812,0.971806997,-0.3427001,0.549830911,-0.26422207,1.110967862,-0.446532754,1.130922456,-0.970974946,0.585842498,-0.146668891,1.183988584,-0.587048905,2.953794243,-0.743187408,2.87633098,-0.059740217,-0.921517141,-0.194073667,-0.480227382,-0.406972026,0.674348781,0.200406841,0.127645269,0.230842947,0.228578082,0.260250002,0.249068897,0.209872247,0.417379209,0.112021223,0.304270054,0.121108459,0.59347067,0.114256838,0.656664497,0.158113248,0.370201716,0.216651308,0.471760497,0.292618883,0.614629906,0.219966919,0.542383402,0.223336842,0.486058213,0.21960958,0.517113085,0.24528587,0.214436274,0.270886531,0.491555175,0.30716363,0.366663581,0.254230862,0.586419278,0.279963033,0.764850352,0.208118178,0.617235355
24742_1#125,Jan Michiels,PRJEB23294,SAMEA104370117,ERX3134819,ERR3062018,0.014371826,-1.250267933,0.11945051,-0.327003715,0.211523028,-0.486301465,0.089918787,0.115626429,-0.095616611,1.152846163,-0.383182772,2.722716391,-0.19699565,4.534052556,-0.190377682,2.170887873,-0.251181481,2.054767777,-0.322529221,1.284236905,-0.154685325,1.39818569,-0.176612589,2.574573066,-0.653622693,2.754517355,-0.001609919,1.160851883,-0.148006008,3.202461399,-0.365065716,4.489253005,-0.27182641,-1.464346559,-0.108592583,-0.63298299,-0.366938882,1.28772385,0.124951743,0.08530037,0.160603969,0.207608213,0.157469246,0.209086011,0.14254402,0.281544861,0.145955375,0.301238942,0.144646434,0.451880249,0.237890222,0.744950867,0.149347891,0.535242357,0.090020256,0.426546037,0.132551399,0.378901377,0.221108448,0.263835552,0.107348517,0.381863237,0.259191629,0.661116794,0.175105579,0.372562698,0.136091468,0.425176938,0.220200502,0.819064558,0.228215431,0.699543985,0.259697123,0.851319721,0.158903282,0.589153363
24742_1#128,Jan Michiels,PRJEB23294,SAMEA104370120,ERX3134822,ERR3062021,-1.027313331,-0.467519954,-0.027954159,0.344502296,-0.019499221,0.609468202,-0.247066601,1.401193037,0.029376969,0.810933526,0.130987737,1.260877733,-3.47E-04,1.091315923,-0.316842089,-1.593080113,-0.384524852,-1.711711084,-0.012723122,-0.213621636,-0.0196718,1.556301393,0.052771241,1.852793759,-0.581612341,-1.65410512,-0.306278394,1.566375106,-0.453046208,4.112984028,-0.400641968,1.528015246,0.133142959,-0.738513726,-0.044348609,-2.137449066,0.094030184,-1.84875582,0.231342871,0.119096994,0.247919356,0.158898644,0.273326895,0.216387797,0.244915614,0.230362527,0.17448985,0.403158395,0.276622255,0.567166778,0.220851493,0.741799257,0.231297956,0.278925458,0.153162981,0.569419543,0.288051446,1.246808088,0.275357054,0.380583339,0.278376782,0.398375923,0.257154971,0.941763046,0.225693781,0.332670306,0.452214453,0.561500443,0.330655917,0.354519709,0.272797785,0.576031252,0.319728371,0.645743163,0.372599988,0.756400857
24742_1#129,Jan Michiels,PRJEB23294,SAMEA104370121,ERX3134823,ERR3062022,-0.602709477,-1.692116289,-0.128373949,0.06487545,-0.086225088,0.636583589,-0.671402268,1.087178438,-0.042202134,0.754147805,0.004489319,3.029076719,-0.18635605,4.542781359,-0.460466646,0.22334228,-0.519996116,-0.390001606,-0.434754588,1.481568283,-0.270761849,1.413225888,-0.442596225,2.606455459,-0.938075895,2.541732369,0.138496182,0.766238658,-0.140281277,2.625149038,-0.24191891,3.622769647,-0.057342918,-0.496418541,-0.061095767,0.956696007,-0.388433886,2.259550515,0.129584393,0.328777689,0.149521141,0.348893425,0.179844456,0.501451432,0.163513748,0.614593405,0.298731244,0.529840156,0.268836338,0.572005042,0.302197863,0.765011291,0.230502965,1.344652123,0.293451709,1.237880899,0.291583064,0.957848048,0.254168612,0.527612596,0.328380508,0.429323272,0.163515105,0.579502411,0.212479422,0.464176076,0.248274014,0.596254338,0.209429824,0.550372123,1.012179771,0.749253618,0.307291436,0.424225931,0.548315598,0.758259351
